8075,4
8261,4
8067,4
8252,4
8088,4
8209,4
8121,4
8155,4
8164,4
8126,4
8207,4
8129,4
8216,4
8158,4
8194,4
8219,4
8149,4
8280,4
8099,4
8305,4
8074,4
8311,4
8077,4
8288,4
8114,4
8226,4
8170,4
8163,4
8200,4
8105,4
8203,4
8085,4
8179,4
8111,4
8136,4
8142,4
8096,4
8177,4
8059,4
8194,4
8050,4
8180,4
8085,4
8148,4
8144,4
8088,4
8198,4
8046,4
8241,4
8032,4
8269,4
8053,4
8240,4
8095,4
8188,4
8131,4
8136,4
8164,4
8109,4
8190,4
8136,4
8189,4
8190,4
8164,4
8243,4
8117,4
8294,4
8093,4
8302,4
8096,4
8292,4
8138,4
8236,4
8189,4
8176,4
8225,4
8108,4
8252,4
8082,4
8245,4
8082,4
8197,4
8106,4
8144,4
8150,4
8097,4
8175,4
8076,4
8170,4
8087,4
8139,4
8140,4
8093,4
8203,4
8045,4
8235,4
8008,4
8249,4
8018,4
8231,4
8064,4
8204,4
8138,4
8167,4
8186,4
8105,4
8196,4
8101,4
8185,4
8131,4
8170,4
8189,4
8145,4
8259,4
8131,4
8304,4
8141,4
8297,4
8166,4
8247,4
8214,4
8194,4
8260,4
8137,4
8313,4
8094,4
8303,4
8085,4
8272,4
8095,4
8189,4
8122,4
8119,4
8153,4
8087,4
8156,4
8089,4
8130,4
8113,4
8089,4
8175,4
8063,4
8226,4
8027,4
8245,4
8025,4
8220,4
8049,4
8183,4
8117,4
8138,4
8180,4
8092,4
8211,4
8070,4
8212,4
8073,4
8177,4
8114,4
8144,4
8172,4
8124,4
8249,4
8137,4
8265,4
8170,4
8235,4
8208,4
8177,4
8253,4
8106,4
8294,4
8080,4
8322,4
8082,4
8306,4
8098,4
8241,4
8146,4
8173,4
8165,4
8110,4
8180,4
8084,4
8163,4
8094,4
8119,4
8133,4
8074,4
8172,4
8050,4
8210,4
8031,4
8206,4
8066,4
8195,4
8136,4
8143,4
8190,4
8087,4
8236,4
8062,4
8263,4
8065,4
8256,4
8102,4
8208,4
8145,4
8162,4
8195,4
8137,4
8224,4
8144,4
8213,4
8182,4
8188,4
8243,4
8125,4
8293,4
8088,4
8307,4
8076,4
8305,4
8104,4
8256,4
8149,4
8194,4
8195,4
8137,4
8212,4
8077,4
8204,4
8074,4
8166,4
8105,4
8127,4
8144,4
8084,4
8175,4
8061,4
8189,4
8074,4
8167,4
8111,4
8118,4
8174,4
8060,4
8227,4
8023,4
8257,4
8027,4
8248,4
8052,4
8208,4
8105,4
8169,4
8155,4
8114,4
8165,4
8095,4
8183,4
8127,4
8161,4
8187,4
8136,4
8260,4
8114,4
8295,4
8098,4
8301,4
8119,4
8260,4
8175,4
8216,4
8242,4
8181,4
8302,4
8130,4
8307,4
8101,4
8266,4
8103,4
8200,4
8131,4
8143,4
8165,4
8107,4
8178,4
8097,4
8169,4
8116,4
8116,4
8168,4
8069,4
8215,4
8029,4
8259,4
8012,4
8242,4
8034,4
8208,4
8077,4
8163,4
8148,4
8119,4
8200,4
8094,4
8213,4
8105,4
8198,4
8138,4
8157,4
8202,4
8131,4
8256,4
8124,4
8277,4
8128,4
8241,4
8177,4
8198,4
8220,4
8135,4
8267,4
8099,4
8311,4
8071,4
8288,4
8079,4
8238,4
8109,4
8172,4
8136,4
8118,4
8163,4
8098,4
8169,4
8107,4
8129,4
8137,4
8091,4
8190,4
8046,4
8231,4
8019,4
8223,4
8032,4
8198,4
8072,4
8152,4
8131,4
8088,4
8192,4
8065,4
8213,4
8058,4
8227,4
8073,4
8161,4
8104,4
8118,4
8164,4
8110,4
8213,4
8125,4
8222,4
8167,4
8187,4
8220,4
8148,4
8282,4
8100,4
8327,4
8095,4
8337,4
8103,4
8297,4
8138,4
8227,4
8181,4
8170,4
8209,4
8130,4
8238,4
8133,4
8226,4
8154,4
8161,4
8181,4
8098,4
8225,4
8069,4
8227,4
8071,4
8206,4
8101,4
8165,4
8153,4
8087,4
8194,4
8036,4
8226,4
8022,4
8247,4
8049,4
8211,4
8081,4
8149,4
8127,4
8124,4
8178,4
8116,4
8196,4
8140,4
8190,4
8202,4
8167,4
8268,4
8107,4
8297,4
8088,4
8310,4
8097,4
8274,4
8136,4
8233,4
8189,4
8167,4
8221,4
8099,4
8231,4
8072,4
8211,4
8076,4
8162,4
8114,4
8116,4
8161,4
8087,4
8173,4
8075,4
8175,4
8098,4
8147,4
8149,4
8091,4
8210,4
8045,4
8239,4
8011,4
8256,4
8031,4
8235,4
8067,4
8187,4
8114,4
8142,4
8166,4
8091,4
8174,4
8100,4
8192,4
8134,4
8154,4
8189,4
8121,4
8267,4
8107,4
8298,4
8110,4
8268,4
8157,4
8240,4
8213,4
8192,4
8271,4
8137,4
8290,4
8089,4
8284,4
8078,4
8244,4
8108,4
8186,4
8145,4
8131,4
8176,4
8105,4
8170,4
8109,4
8150,4
8143,4
8109,4
8202,4
8060,4
8246,4
8031,4
8261,4
8026,4
8235,4
8064,4
8196,4
8131,4
8148,4
8186,4
8106,4
8213,4
8079,4
8213,4
8097,4
8196,4
8154,4
8158,4
8223,4
8140,4
8266,4
8133,4
8256,4
8166,4
8228,4
8214,4
8182,4
8262,4
8105,4
8299,4
8074,4
8318,4
8074,4
8295,4
8104,4
8224,4
8127,4
8154,4
8156,4
8098,4
8164,4
8089,4
8161,4
8107,4
8118,4
8150,4
8071,4
8203,4
8038,4
8235,4
8029,4
8218,4
8063,4
8183,4
8122,4
8130,4
8177,4
8076,4
8226,4
8057,4
8251,4
8064,4
8216,4
8094,4
8176,4
8143,4
8138,4
8197,4
8127,4
8223,4
8144,4
8210,4
8197,4
8174,4
8241,4
8114,4
8292,4
8079,4
8315,4
8082,4
8312,4
8102,4
8246,4
8141,4
8182,4
8178,4
8111,4
8202,4
8078,4
8185,4
8089,4
8153,4
8120,4
8111,4
8156,4
8076,4
8190,4
8057,4
8201,4
8073,4
8172,4
8129,4
8124,4
8190,4
8063,4
8234,4
8036,4
8268,4
8041,4
8256,4
8075,4
8216,4
8122,4
8167,4
8169,4
8124,4
8203,4
8125,4
8207,4
8156,4
8183,4
8221,4
8139,4
8274,4
8098,4
8294,4
8079,4
8285,4
8101,4
8247,4
8163,4
8195,4
8206,4
8140,4
8246,4
8085,4
8255,4
8084,4
8231,4
8096,4
8158,4
8127,4
8114,4
8170,4
8097,4
8189,4
8096,4
8173,4
8138,4
8134,4
8192,4
8078,4
8240,4
8055,4
8281,4
8039,4
8278,4
8065,4
8235,4
8112,4
8183,4
8163,4
8122,4
8197,4
8104,4
8205,4
8121,4
8190,4
8162,4
8159,4
8240,4
8141,4
8277,4
8115,4
8278,4
8122,4
8240,4
8168,4
8188,4
8224,4
8140,4
8267,4
8085,4
8290,4
8062,4
8263,4
8072,4
8201,4
8090,4
8134,4
8140,4
8096,4
8164,4
8093,4
8150,4
8103,4
8120,4
8156,4
8078,4
8202,4
8037,4
8243,4
8018,4
8235,4
8036,4
8200,4
8085,4
8162,4
8151,4
8108,4
8208,4
8080,4
8225,4
8074,4
8211,4
8106,4
8182,4
8164,4
8153,4
8216,4
8133,4
8256,4
8144,4
8233,4
8176,4
8190,4
8230,4
8144,4
8271,4
8090,4
8322,4
8078,4
8309,4
8076,4
8247,4
8096,4
8186,4
8151,4
8120,4
8171,4
8094,4
8178,4
8105,4
8160,4
8134,4
8118,4
8183,4
8074,4
8231,4
8059,4
8233,4
8065,4
8204,4
8096,4
8156,4
8153,4
8081,4
8201,4
8053,4
8235,4
8040,4
8241,4
8051,4
8192,4
8091,4
8146,4
8151,4
8131,4
8191,4
8130,4
8211,4
8157,4
8207,4
8232,4
8178,4
8300,4
8120,4
8321,4
8097,4
8330,4
8105,4
8306,4
8157,4
8240,4
8193,4
8168,4
8222,4
8109,4
8226,4
8075,4
8188,4
8089,4
8148,4
8127,4
8099,4
8157,4
8065,4
8171,4
8055,4
8177,4
8095,4
8139,4
8152,4
8087,4
8213,4
8040,4
8248,4
8018,4
8266,4
8042,4
8240,4
8089,4
8187,4
8131,4
8135,4
8179,4
8107,4
8202,4
8121,4
8195,4
8180,4
8176,4
8233,4
8126,4
8284,4
8099,4
8299,4
8103,4
8266,4
8139,4
8221,4
8190,4
8161,4
8234,4
8098,4
8255,4
8063,4
8244,4
8059,4
8195,4
8095,4
8139,4
8129,4
8093,4
8150,4
8088,4
8163,4
8100,4
8138,4
8151,4
8096,4
8211,4
8050,4
8258,4
8028,4
8270,4
8037,4
8248,4
8086,4
8208,4
8150,4
8160,4
8203,4
8119,4
8230,4
8108,4
8230,4
8139,4
8197,4
8196,4
8162,4
8250,4
8135,4
8277,4
8132,4
8255,4
8153,4
8220,4
8204,4
8164,4
8259,4
8113,4
8298,4
8073,4
8290,4
8068,4
8258,4
8079,4
8179,4
8107,4
8116,4
8149,4
8095,4
8166,4
8094,4
8143,4
8118,4
8102,4
8174,4
8068,4
8215,4
8028,4
8242,4
8031,4
8223,4
8068,4
8186,4
8132,4
8136,4
8191,4
8083,4
8229,4
8065,4
8238,4
8069,4
8199,4
8105,4
8158,4
8159,4
8134,4
8221,4
8125,4
8234,4
8161,4
8220,4
8218,4
8182,4
8260,4
8122,4
8314,4
8091,4
8328,4
8081,4
8297,4
8098,4
8233,4
8144,4
8165,4
8182,4
8104,4
8197,4
8091,4
8184,4
8105,4
8150,4
8147,4
8107,4
8191,4
8072,4
8212,4
8059,4
8203,4
8077,4
8169,4
8130,4
8117,4
8188,4
8062,4
8236,4
8043,4
8262,4
8050,4
8246,4
8078,4
8201,4
8122,4
8160,4
8189,4
8130,4
8226,4
8152,4
8216,4
8195,4
8187,4
8238,4
8126,4
8285,4
8090,4
8307,4
8092,4
8305,4
8116,4
8255,4
8165,4
8192,4
8204,4
8111,4
8228,4
8075,4
8223,4
8077,4
8198,4
8093,4
8135,4
8135,4
8103,4
8174,4
8083,4
8187,4
8088,4
8170,4
8138,4
8113,4
8184,4
8055,4
8220,4
8017,4
8254,4
8018,4
8252,4
8053,4
8215,4
8107,4
8160,4
8158,4
8120,4
8204,4
8122,4
8218,4
8144,4
8207,4
8209,4
8188,4
8279,4
8146,4
8309,4
8136,4
8311,4
8154,4
8258,4
8183,4
8203,4
8242,4
8141,4
8261,4
8079,4
8277,4
8057,4
8240,4
8062,4
8175,4
8098,4
8115,4
8134,4
8087,4
8155,4
8082,4
8150,4
8113,4
8117,4
8170,4
8058,4
8208,4
8026,4
8247,4
8021,4
8245,4
8043,4
8207,4
8097,4
8165,4
8171,4
8106,4
8199,4
8070,4
8214,4
8079,4
8208,4
8130,4
8184,4
8197,4
8156,4
8260,4
8149,4
8269,4
8162,4
8248,4
8205,4
8203,4
8254,4
8142,4
8301,4
8085,4
8316,4
8067,4
8291,4
8075,4
8229,4
8101,4
8164,4
8135,4
8111,4
8160,4
8089,4
8165,4
8101,4
8136,4
8133,4
8089,4
8187,4
8051,4
8223,4
8038,4
8220,4
8051,4
8195,4
8094,4
8144,4
8164,4
8088,4
8218,4
8061,4
8236,4
8047,4
8230,4
8072,4
8192,4
8126,4
8160,4
8188,4
8139,4
8231,4
8147,4
8229,4
8185,4
8193,4
8231,4
8129,4
8284,4
8091,4
8308,4
8078,4
8314,4
8091,4
8263,4
8128,4
8193,4
8163,4
8114,4
8186,4
8075,4
8192,4
8075,4
8169,4
8104,4
8131,4
8144,4
8086,4
8172,4
8060,4
8194,4
8065,4
8184,4
8110,4
8143,4
8167,4
8082,4
8220,4
8036,4
8254,4
8036,4
8267,4
8053,4
8219,4
8091,4
8167,4
8134,4
8133,4
8201,4
8136,4
8235,4
8156,4
8213,4
8218,4
8180,4
8278,4
8132,4
8310,4
8109,4
8312,4
8106,4
8275,4
8148,4
8209,4
8181,4
8138,4
8219,4
8073,4
8231,4
8051,4
8219,4
8072,4
8185,4
8109,4
8133,4
8163,4
8108,4
8186,4
8101,4
8175,4
8117,4
8148,4
8171,4
8098,4
8227,4
8055,4
8270,4
8036,4
8279,4
8048,4
8237,4
8082,4
8181,4
8125,4
8114,4
8163,4
8081,4
8203,4
8104,4
8204,4
8148,4
8181,4
8213,4
8146,4
8262,4
8126,4
8282,4
8131,4
8289,4
8193,4
8250,4
8253,4
8190,4
8280,4
8105,4
8299,4
8074,4
8288,4
8073,4
8243,4
8102,4
8184,4
8134,4
8116,4
8152,4
8088,4
8159,4
8097,4
8144,4
8143,4
8096,4
8188,4
8048,4
8218,4
8022,4
8246,4
8028,4
8219,4
8078,4
8178,4
8139,4
8128,4
8197,4
8087,4
8232,4
8073,4
8242,4
8106,4
8220,4
8137,4
8154,4
8189,4
8133,4
8243,4
8134,4
8245,4
8174,4
8209,4
8206,4
8156,4
8266,4
8103,4
8313,4
8075,4
8309,4
8059,4
8274,4
8086,4
8199,4
8112,4
8119,4
8162,4
8090,4
8182,4
8088,4
8158,4
8106,4
8125,4
8147,4
8074,4
8182,4
8052,4
8220,4
8052,4
8200,4
8075,4
8158,4
8135,4
8095,4
8190,4
8055,4
8232,4
8040,4
8259,4
8057,4
8222,4
8092,4
8185,4
8139,4
8140,4
8203,4
8141,4
8248,4
8183,4
8238,4
8226,4
8189,4
8269,4
8117,4
8301,4
8085,4
8315,4
8096,4
8292,4
8111,4
8222,4
8152,4
8152,4
8180,4
8078,4
8197,4
8051,4
8188,4
8073,4
8165,4
8112,4
8121,4
8152,4
8090,4
8180,4
8075,4
8186,4
8093,4
8159,4
8146,4
8105,4
8211,4
8059,4
8252,4
8035,4
8280,4
8035,4
8264,4
8075,4
8208,4
8120,4
8160,4
8175,4
8120,4
8202,4
8125,4
8210,4
8166,4
8199,4
8225,4
8144,4
8276,4
8108,4
8282,4
8092,4
8280,4
8136,4
8252,4
8202,4
8190,4
8228,4
8114,4
8259,4
8070,4
8257,4
8056,4
8214,4
8078,4
8170,4
8128,4
8115,4
8152,4
8085,4
8160,4
8097,4
8163,4
8136,4
8116,4
8197,4
8075,4
8251,4
8030,4
8260,4
8033,4
8244,4
8056,4
8214,4
8128,4
8162,4
8171,4
8105,4
8218,4
8101,4
8238,4
8118,4
8214,4
8162,4
8183,4
8225,4
8149,4
8272,4
8125,4
8264,4
8147,4
8224,4
8188,4
8175,4
8241,4
8109,4
8284,4
8065,4
8292,4
8048,4
8261,4
8061,4
8203,4
8098,4
8135,4
8148,4
8099,4
8159,4
8088,4
8159,4
8106,4
8123,4
8150,4
8080,4
8203,4
8050,4
8235,4
8034,4
8223,4
8054,4
8193,4
8114,4
8143,4
8172,4
8087,4
8215,4
8055,4
8230,4
8054,4
8211,4
8094,4
8193,4
8153,4
8161,4
8216,4
8147,4
8257,4
8160,4
8229,4
8198,4
8190,4
8255,4
8139,4
8302,4
8097,4
8328,4
8081,4
8303,4
8082,4
8242,4
8127,4
8175,4
8157,4
8108,4
8189,4
8075,4
8176,4
8088,4
8163,4
8114,4
8117,4
8162,4
8079,4
8204,4
8057,4
8203,4
8064,4
8175,4
8123,4
8145,4
8184,4
8078,4
8237,4
8050,4
8272,4
8044,4
8260,4
8069,4
8216,4
8114,4
8174,4
8178,4
8146,4
8217,4
8143,4
8241,4
8189,4
8198,4
8210,4
8131,4
8255,4
8082,4
8289,4
8075,4
8294,4
8100,4
8259,4
8154,4
8207,4
8199,4
8137,4
8226,4
8078,4
8230,4
8085,4
8250,4
8120,4
8202,4
8145,4
8129,4
8161,4
8072,4
8161,4
8070,4
8155,4
8110,4
8114,4
8166,4
8068,4
8220,4
8032,4
8262,4
8025,4
8266,4
8046,4
8234,4
8093,4
8185,4
8159,4
8143,4
8202,4
8119,4
8237,4
8141,4
8220,4
8194,4
8191,4
8250,4
8138,4
8271,4
8106,4
8277,4
8113,4
8246,4
8162,4
8207,4
8215,4
8133,4
8250,4
8071,4
8265,4
8041,4
8245,4
8044,4
8196,4
8079,4
8146,4
8139,4
8099,4
8156,4
8081,4
8155,4
8104,4
8124,4
8143,4
8090,4
8205,4
8043,4
8240,4
8020,4
8250,4
8035,4
8223,4
8082,4
8178,4
8146,4
8108,4
8189,4
8069,4
8211,4
8082,4
8239,4
8124,4
8210,4
8188,4
8166,4
8246,4
8151,4
8267,4
8147,4
8256,4
8189,4
8223,4
8237,4
8163,4
8294,4
8100,4
8315,4
8066,4
8304,4
8065,4
8246,4
8084,4
8174,4
8117,4
8121,4
8165,4
8089,4
8173,4
8097,4
8153,4
8127,4
8119,4
8166,4
8073,4
8226,4
8055,4
8225,4
8053,4
8200,4
8085,4
8169,4
8163,4
8124,4
8217,4
8077,4
8249,4
8051,4
8254,4
8066,4
8217,4
8110,4
8177,4
8164,4
8149,4
8229,4
8145,4
8242,4
8167,4
8199,4
8208,4
8154,4
8257,4
8096,4
8302,4
8072,4
8309,4
8074,4
8261,4
8097,4
8205,4
8140,4
8131,4
8178,4
8077,4
8197,4
8070,4
8183,4
8088,4
8148,4
8128,4
8114,4
8168,4
8073,4
8197,4
8067,4
8191,4
8095,4
8158,4
8153,4
8083,4
8209,4
8051,4
8248,4
8031,4
8265,4
8037,4
8231,4
8069,4
8185,4
8129,4
8161,4
8191,4
8136,4
8232,4
8147,4
8218,4
8194,4
8193,4
8242,4
8133,4
8288,4
8106,4
8307,4
8106,4
8302,4
8151,4
8238,4
8191,4
8171,4
8230,4
8090,4
8235,4
8052,4
8234,4
8055,4
8196,4
8093,4
8144,4
8132,4
8106,4
8166,4
8089,4
8183,4
8110,4
8160,4
8156,4
8107,4
8215,4
8073,4
8272,4
8043,4
8276,4
8043,4
8246,4
8068,4
8207,4
8139,4
8148,4
8171,4
8101,4
8217,4
8106,4
8234,4
8135,4
8209,4
8196,4
8172,4
8256,4
8139,4
8272,4
8121,4
8261,4
8150,4
8224,4
8204,4
8165,4
8237,4
8096,4
8280,4
8058,4
8279,4
8044,4
8234,4
8064,4
8190,4
8116,4
8134,4
8150,4
8097,4
8160,4
8093,4
8147,4
8123,4
8116,4
8176,4
8071,4
8220,4
8043,4
8245,4
8032,4
8232,4
8064,4
8193,4
8126,4
8138,4
8180,4
8078,4
8212,4
8056,4
8235,4
8075,4
8220,4
8126,4
8197,4
8196,4
8169,4
8258,4
8157,4
8266,4
8175,4
8229,4
8214,4
8184,4
8258,4
8128,4
8314,4
8084,4
8314,4
8065,4
8277,4
8078,4
8217,4
8109,4
8150,4
8169,4
8103,4
8187,4
8081,4
8171,4
8091,4
8141,4
8132,4
8101,4
8174,4
8063,4
8201,4
8050,4
8209,4
8079,4
8178,4
8133,4
8126,4
8190,4
8075,4
8238,4
8047,4
8264,4
8042,4
8246,4
8071,4
8202,4
8119,4
8160,4
8194,4
8143,4
8230,4
8141,4
8208,4
8178,4
8174,4
8218,4
8116,4
8273,4
8084,4
8305,4
8087,4
8299,4
8098,4
8241,4
8144,4
8171,4
8188,4
8115,4
8222,4
8081,4
8242,4
8081,4
8206,4
8106,4
8147,4
8139,4
8093,4
8162,4
8076,4
8190,4
8085,4
8165,4
8132,4
8129,4
8184,4
8065,4
8239,4
8038,4
8267,4
8034,4
8268,4
8054,4
8216,4
8101,4
8169,4
8164,4
8130,4
8201,4
8125,4
8233,4
8156,4
8211,4
8204,4
8165,4
8255,4
8121,4
8281,4
8112,4
8285,4
8124,4
8248,4
8174,4
8198,4
8219,4
8127,4
8241,4
8055,4
8254,4
8036,4
8237,4
8073,4
8193,4
8115,4
8139,4
8153,4
8105,4
8174,4
8095,4
8171,4
8117,4
8126,4
8180,4
8080,4
8229,4
8045,4
8259,4
8021,4
8247,4
8049,4
8222,4
8100,4
8166,4
8157,4
8105,4
8196,4
8084,4
8219,4
8091,4
8231,4
8135,4
8188,4
8193,4
8147,4
8247,4
8126,4
8260,4
8128,4
8226,4
8176,4
8201,4
8254,4
8157,4
8301,4
8091,4
8307,4
8065,4
8287,4
8072,4
8238,4
8101,4
8179,4
8149,4
8122,4
8175,4
8082,4
8154,4
8094,4
8128,4
8115,4
8087,4
8173,4
8049,4
8219,4
8034,4
8223,4
8049,4
8202,4
8101,4
8171,4
8180,4
8128,4
8231,4
8082,4
8264,4
8065,4
8247,4
8092,4
8212,4
8143,4
8191,4
8211,4
8165,4
8251,4
8154,4
8230,4
8180,4
8190,4
8222,4
8130,4
8256,4
8082,4
8298,4
8056,4
8291,4
8066,4
8246,4
8089,4
8180,4
8138,4
8114,4
8178,4
8076,4
8187,4
8065,4
8162,4
8102,4
8137,4
8149,4
8091,4
8190,4
8078,4
8215,4
8076,4
8198,4
8107,4
8152,4
8168,4
8100,4
8224,4
8058,4
8275,4
8040,4
8268,4
8057,4
8231,4
8101,4
8198,4
8165,4
8169,4
8215,4
8144,4
8245,4
8165,4
8219,4
8207,4
8171,4
8265,4
8119,4
8296,4
8101,4
8312,4
8104,4
8267,4
8132,4
8205,4
8166,4
8136,4
8205,4
8068,4
8215,4
8047,4
8219,4
8071,4
8182,4
8105,4
8129,4
8140,4
8093,4
8174,4
8083,4
8182,4
8107,4
8146,4
8156,4
8089,4
8209,4
8043,4
8255,4
8025,4
8273,4
8036,4
8230,4
8068,4
8178,4
8109,4
8114,4
8167,4
8088,4
8203,4
8104,4
8209,4
8157,4
8193,4
8209,4
8149,4
8262,4
8120,4
8284,4
8125,4
8264,4
8164,4
8228,4
8212,4
8172,4
8262,4
8106,4
8284,4
8062,4
8267,4
8045,4
8229,4
8079,4
8181,4
8140,4
8145,4
8187,4
8121,4
8185,4
8115,4
8159,4
8144,4
8112,4
8191,4
8056,4
8239,4
8028,4
8251,4
8032,4
8227,4
8072,4
8193,4
8140,4
8138,4
8191,4
8085,4
8220,4
8078,4
8248,4
8117,4
8242,4
8162,4
8200,4
8235,4
8159,4
8258,4
8140,4
8240,4
8166,4
8212,4
8214,4
8171,4
8264,4
8097,4
8287,4
8056,4
8289,4
8040,4
8242,4
8058,4
8186,4
8105,4
8143,4
8162,4
8091,4
8168,4
8083,4
8152,4
8102,4
8121,4
8141,4
8084,4
8194,4
8052,4
8219,4
8050,4
8214,4
8079,4
8169,4
8131,4
8124,4
8194,4
8066,4
8234,4
8042,4
8250,4
8056,4
8251,4
8111,4
8206,4
8154,4
8178,4
8220,4
8158,4
8252,4
8166,4
8219,4
8199,4
8170,4
8248,4
8115,4
8297,4
8090,4
8317,4
8085,4
8285,4
8093,4
8226,4
8133,4
8151,4
8169,4
8081,4
8197,4
8072,4
8207,4
8079,4
8168,4
8117,4
8128,4
8154,4
8088,4
8188,4
8076,4
8194,4
8093,4
8170,4
8147,4
8123,4
8199,4
8070,4
8250,4
8043,4
8280,4
8036,4
8261,4
8069,4
8214,4
8121,4
8180,4
8190,4
8145,4
8236,4
8150,4
8239,4
8186,4
8200,4
8219,4
8145,4
8266,4
8111,4
8299,4
8105,4
8287,4
8118,4
8233,4
8162,4
8163,4
8204,4
8087,4
8230,4
8049,4
8243,4
8036,4
8200,4
8071,4
8157,4
8111,4
8112,4
8147,4
8088,4
8163,4
8092,4
8146,4
8122,4
8109,4
8182,4
8056,4
8225,4
8029,4
8261,4
8023,4
8244,4
8052,4
8211,4
8099,4
8156,4
8159,4
8107,4
8211,4
8100,4
8248,4
8138,4
8254,4
8196,4
8202,4
8242,4
8154,4
8270,4
8135,4
8278,4
8157,4
8245,4
8206,4
8195,4
8246,4
8130,4
8271,4
8062,4
8275,4
8027,4
8238,4
8033,4
8183,4
8077,4
8130,4
8124,4
8093,4
8153,4
8081,4
8154,4
8108,4
8127,4
8150,4
8088,4
8206,4
8061,4
8257,4
8061,4
8267,4
8079,4
8226,4
8138,4
8182,4
8190,4
8107,4
8216,4
8064,4
8243,4
8082,4
8249,4
8120,4
8213,4
8181,4
8185,4
8241,4
8160,4
8259,4
8161,4
8234,4
8190,4
8191,4
8242,4
8144,4
8292,4
8088,4
8313,4
8069,4
8302,4
8072,4
8243,4
8098,4
8175,4
8154,4
8111,4
8181,4
8084,4
8192,4
8087,4
8162,4
8116,4
8124,4
8156,4
8075,4
8186,4
8051,4
8204,4
8063,4
8181,4
8101,4
8139,4
8172,4
8075,4
8227,4
8048,4
8263,4
8037,4
8256,4
8066,4
8219,4
8100,4
8170,4
8152,4
8126,4
8204,4
8132,4
8209,4
8152,4
8182,4
8200,4
8137,4
8262,4
8097,4
8301,4
8087,4
8302,4
8098,4
8262,4
8149,4
8208,4
8192,4
8142,4
8215,4
8076,4
8225,4
8057,4
8205,4
8082,4
8167,4
8126,4
8114,4
8159,4
8081,4
8172,4
8083,4
8173,4
8103,4
8134,4
8168,4
8079,4
8225,4
8041,4
8267,4
8028,4
8272,4
8044,4
8234,4
8090,4
8198,4
8166,4
8152,4
8212,4
8133,4
8245,4
8151,4
8240,4
8194,4
8189,4
8224,4
8120,4
8263,4
8093,4
8277,4
8119,4
8256,4
8160,4
8199,4
8198,4
8125,4
8215,4
8044,4
8227,4
8021,4
8239,4
8050,4
8206,4
8092,4
8151,4
8137,4
8115,4
8168,4
8100,4
8168,4
8121,4
8151,4
8163,4
8104,4
8212,4
8059,4
8258,4
8039,4
8274,4
8056,4
8233,4
8079,4
8175,4
8145,4
8135,4
8193,4
8092,4
8238,4
8120,4
8263,4
8144,4
8248,4
8204,4
8194,4
8254,4
8141,4
8250,4
8126,4
8241,4
8161,4
8195,4
8193,4
8114,4
8225,4
8050,4
8263,4
8019,4
8254,4
8024,4
8225,4
8067,4
8179,4
8126,4
8135,4
8179,4
8108,4
8198,4
8116,4
8193,4
8158,4
8151,4
8200,4
8096,4
8233,4
8054,4
8221,4
8046,4
8213,4
8085,4
8171,4
8143,4
8123,4
8203,4
8068,4
8241,4
8054,4
8258,4
8080,4
8235,4
8122,4
8199,4
8188,4
8155,4
8234,4
8148,4
8229,4
8155,4
8203,4
8208,4
8157,4
8258,4
8104,4
8296,4
8069,4
8299,4
8063,4
8258,4
8078,4
8197,4
8122,4
8135,4
8173,4
8085,4
8203,4
8078,4
8189,4
8097,4
8158,4
8135,4
8116,4
8177,4
8089,4
8211,4
8078,4
8200,4
8103,4
8164,4
8159,4
8125,4
8218,4
8066,4
8255,4
8040,4
8271,4
8039,4
8241,4
8078,4
8207,4
8138,4
8172,4
8207,4
8151,4
8241,4
8149,4
8222,4
8185,4
8172,4
8219,4
8120,4
8264,4
8084,4
8284,4
8074,4
8246,4
8093,4
8212,4
8148,4
8134,4
8196,4
8072,4
8215,4
8046,4
8218,4
8056,4
8198,4
8091,4
8147,4
8131,4
8109,4
8168,4
8101,4
8189,4
8107,4
8164,4
8153,4
8110,4
8208,4
8067,4
8259,4
8037,4
8279,4
8046,4
8265,4
8075,4
8225,4
8135,4
8170,4
8191,4
8132,4
8235,4
8125,4
8252,4
8150,4
8221,4
8199,4
8169,4
8245,4
8128,4
8278,4
8117,4
8270,4
8145,4
8225,4
8176,4
8155,4
8217,4
8085,4
8244,4
8032,4
8248,4
8025,4
8229,4
8060,4
8178,4
8092,4
8120,4
8129,4
8089,4
8158,4
8088,4
8151,4
8113,4
8113,4
8166,4
8068,4
8213,4
8041,4
8253,4
8051,4
8253,4
8084,4
8222,4
8140,4
8165,4
8189,4
8102,4
8233,4
8086,4
8255,4
8105,4
8249,4
8141,4
8211,4
8193,4
8151,4
8235,4
8128,4
8234,4
8145,4
8216,4
8190,4
8173,4
8234,4
8107,4
8284,4
8065,4
8290,4
8043,4
8266,4
8056,4
8217,4
8108,4
8173,4
8173,4
8124,4
8191,4
8092,4
8176,4
8098,4
8155,4
8135,4
8103,4
8185,4
8064,4
8209,4
8048,4
8209,4
8063,4
8184,4
8119,4
8137,4
8184,4
8072,4
8225,4
8036,4
8252,4
8034,4
8253,4
8074,4
8215,4
8140,4
8191,4
8209,4
8159,4
8252,4
8164,4
8231,4
8196,4
8196,4
8251,4
8165,4
8305,4
8113,4
8325,4
8088,4
8305,4
8090,4
8233,4
8124,4
8167,4
8156,4
8087,4
8180,4
8056,4
8197,4
8050,4
8169,4
8091,4
8130,4
8127,4
