8304,5
8060,5
8242,5
8119,5
8178,5
8197,5
8116,5
8275,5
8049,5
8311,5
8039,5
8295,5
8058,5
8237,5
8117,5
8175,5
8184,5
8129,5
8237,5
8133,5
8222,5
8163,5
8171,5
8223,5
8090,5
8272,5
8023,5
8329,5
8012,5
8341,5
8030,5
8275,5
8071,5
8198,5
8147,5
8123,5
8215,5
8083,5
8261,5
8093,5
8240,5
8107,5
8157,5
8146,5
8095,5
8233,5
8098,5
8267,5
8068,5
8204,5
8121,5
8166,5
8200,5
8074,5
8252,5
7984,5
8256,5
7945,5
8264,5
7967,5
8219,5
8028,5
8155,5
8093,5
8098,5
8176,5
8087,5
8178,5
8101,5
8155,5
8167,5
8115,5
8243,5
8063,5
8305,5
8040,5
8317,5
8072,5
8316,5
8171,5
8273,5
8251,5
8203,5
8310,5
8125,5
8335,5
8078,5
8321,5
8101,5
8271,5
8138,5
8189,5
8199,5
8129,5
8244,5
8127,5
8231,5
8157,5
8169,5
8195,5
8088,5
8251,5
8008,5
8296,5
7983,5
8319,5
8007,5
8283,5
8083,5
8252,5
8190,5
8188,5
8228,5
8099,5
8217,5
8047,5
8161,5
8061,5
8109,5
8134,5
8079,5
8229,5
8066,5
8267,5
8057,5
8218,5
8080,5
8163,5
8171,5
8097,5
8245,5
8027,5
8291,5
7985,5
8296,5
7999,5
8253,5
8052,5
8188,5
8115,5
8129,5
8193,5
8123,5
8223,5
8116,5
8164,5
8153,5
8090,5
8201,5
8019,5
8271,5
8020,5
8321,5
8028,5
8285,5
8078,5
8226,5
8155,5
8151,5
8234,5
8092,5
8294,5
8076,5
8312,5
8105,5
8267,5
8149,5
8199,5
8209,5
8138,5
8254,5
8116,5
8235,5
8149,5
8199,5
8217,5
8124,5
8267,5
8042,5
8327,5
8010,5
8338,5
8014,5
8311,5
8054,5
8226,5
8117,5
8150,5
8174,5
8094,5
8208,5
8078,5
8193,5
8111,5
8146,5
8160,5
8090,5
8231,5
8048,5
8262,5
8045,5
8242,5
8081,5
8190,5
8153,5
8114,5
8231,5
8044,5
8298,5
8016,5
8311,5
8017,5
8275,5
8073,5
8232,5
8162,5
8178,5
8204,5
8115,5
8191,5
8111,5
8173,5
8167,5
8122,5
8231,5
8061,5
8304,5
8012,5
8304,5
7988,5
8259,5
8021,5
8195,5
8110,5
8125,5
8185,5
8071,5
8229,5
8021,5
8209,5
8028,5
8194,5
8151,5
8249,5
8290,5
8180,5
8262,5
8074,5
8188,5
8070,5
8159,5
8152,5
8108,5
8241,5
8051,5
8317,5
8005,5
8323,5
7983,5
8283,5
8032,5
8234,5
8118,5
8178,5
8196,5
8133,5
8223,5
8117,5
8237,5
8146,5
8185,5
8221,5
8121,5
8254,5
8041,5
8258,5
8011,5
8228,5
8053,5
8206,5
8146,5
8141,5
8229,5
8104,5
8339,5
8091,5
8399,5
8149,5
8394,5
8170,5
8284,5
8170,5
8167,5
8194,5
8121,5
8209,5
8113,5
8173,5
8153,5
8104,5
8212,5
8030,5
8251,5
7977,5
8291,5
7972,5
8261,5
8013,5
8224,5
8085,5
8144,5
8152,5
8071,5
8216,5
8056,5
8268,5
8119,5
8277,5
8200,5
8230,5
8275,5
8173,5
8298,5
8124,5
8283,5
8134,5
8227,5
8187,5
8162,5
8250,5
8062,5
8285,5
7998,5
8315,5
7985,5
8287,5
8014,5
8216,5
8062,5
8150,5
8150,5
8105,5
8194,5
8091,5
8182,5
8118,5
8149,5
8188,5
8095,5
8250,5
8042,5
8284,5
8020,5
8272,5
8048,5
8231,5
8135,5
8158,5
8191,5
8055,5
8234,5
8016,5
8275,5
8007,5
8239,5
8046,5
8198,5
8109,5
8125,5
8169,5
8096,5
8197,5
8084,5
8167,5
8135,5
8120,5
8204,5
8052,5
8292,5
8017,5
8330,5
8006,5
8315,5
8004,5
8225,5
8069,5
8164,5
8159,5
8113,5
8220,5
8087,5
8256,5
8104,5
8232,5
8140,5
8149,5
8196,5
8094,5
8254,5
8097,5
8289,5
8125,5
8235,5
8160,5
8161,5
8214,5
8068,5
8289,5
8027,5
8331,5
8018,5
8318,5
8041,5
8252,5
8085,5
8174,5
8150,5
8122,5
8199,5
8094,5
8189,5
8131,5
8180,5
8225,5
8127,5
8280,5
8051,5
8301,5
8015,5
8304,5
8046,5
8265,5
8142,5
8207,5
8205,5
8119,5
8259,5
8056,5
8284,5
8039,5
8258,5
8064,5
8195,5
8119,5
8127,5
8173,5
8085,5
8194,5
8084,5
8178,5
8130,5
8129,5
8210,5
8066,5
8278,5
8017,5
8323,5
7996,5
8337,5
8045,5
8294,5
8122,5
8234,5
8205,5
8185,5
8254,5
8116,5
8260,5
8118,5
8244,5
8159,5
8175,5
8216,5
8088,5
8252,5
8048,5
8246,5
8045,5
8200,5
8082,5
8110,5
8157,5
8049,5
8242,5
8005,5
8302,5
7989,5
8274,5
7990,5
8203,5
8037,5
8148,5
8121,5
8104,5
8173,5
8091,5
8198,5
8146,5
8194,5
8240,5
8157,5
8331,5
8095,5
8350,5
8045,5
8334,5
8058,5
8285,5
8128,5
8222,5
8202,5
8159,5
8260,5
8085,5
8282,5
8067,5
8284,5
8112,5
8229,5
8181,5
8182,5
8223,5
8094,5
8208,5
8078,5
8180,5
8100,5
8115,5
8162,5
8027,5
8219,5
7980,5
8291,5
7961,5
8300,5
7999,5
8265,5
8083,5
8224,5
8174,5
8168,5
8221,5
8106,5
8219,5
8094,5
8196,5
8148,5
8155,5
8229,5
8095,5
8278,5
8062,5
8309,5
8076,5
8242,5
8098,5
8165,5
8177,5
8112,5
8290,5
8083,5
8341,5
8048,5
8337,5
8067,5
8286,5
8102,5
8184,5
8135,5
8106,5
8156,5
8077,5
8161,5
8100,5
8153,5
8209,5
8121,5
8294,5
8069,5
8329,5
8021,5
8321,5
8018,5
8266,5
8067,5
8203,5
8138,5
8123,5
8195,5
8058,5
8239,5
8057,5
8255,5
8099,5
8202,5
8146,5
8125,5
8194,5
8085,5
8228,5
8073,5
8209,5
8119,5
8153,5
8174,5
8067,5
8257,5
8027,5
8334,5
8012,5
8331,5
8010,5
8286,5
8060,5
8218,5
8149,5
8165,5
8214,5
8124,5
8241,5
8130,5
8211,5
8176,5
8138,5
8202,5
8049,5
8230,5
8002,5
8249,5
8020,5
8231,5
8071,5
8171,5
8137,5
8094,5
8229,5
8040,5
8262,5
7993,5
8258,5
8016,5
8229,5
8075,5
8180,5
8166,5
8149,5
8256,5
8177,5
8285,5
8182,5
8181,5
8171,5
8077,5
8232,5
8032,5
8317,5
8029,5
8359,5
8039,5
8320,5
8080,5
8242,5
8155,5
8163,5
8203,5
8084,5
8227,5
8064,5
8253,5
8117,5
8222,5
8196,5
8155,5
8238,5
8091,5
8254,5
8071,5
8230,5
8124,5
8199,5
8195,5
8119,5
8248,5
8048,5
8334,5
8017,5
8336,5
8025,5
8300,5
8056,5
8209,5
8100,5
8139,5
8161,5
8082,5
8178,5
8098,5
8184,5
8151,5
8156,5
8231,5
8084,5
8291,5
8041,5
8292,5
8003,5
8242,5
8059,5
8209,5
8147,5
8133,5
8224,5
8072,5
8294,5
8050,5
8296,5
8045,5
8242,5
8086,5
8186,5
8155,5
8131,5
8226,5
8131,5
8260,5
8173,5
8209,5
8180,5
8087,5
8220,5
8012,5
8281,5
7985,5
8330,5
8009,5
8311,5
8036,5
8219,5
8103,5
8146,5
8172,5
8096,5
8222,5
8072,5
8223,5
8098,5
8188,5
8159,5
8123,5
8236,5
8072,5
8256,5
8074,5
8274,5
8132,5
8208,5
8146,5
8065,5
8166,5
7974,5
8231,5
7957,5
8266,5
7967,5
8261,5
8035,5
8213,5
8116,5
8185,5
8213,5
8158,5
8263,5
8160,5
8260,5
8229,5
8221,5
8303,5
8137,5
8341,5
8079,5
8349,5
8057,5
8325,5
8083,5
8247,5
8145,5
8173,5
8239,5
8121,5
8273,5
8041,5
8239,5
8011,5
8195,5
8065,5
8144,5
8137,5
8099,5
8172,5
8078,5
8208,5
8108,5
8171,5
8135,5
8082,5
8212,5
8029,5
8297,5
7995,5
8321,5
7997,5
8309,5
8035,5
8243,5
8110,5
8174,5
8178,5
8123,5
8230,5
8098,5
8229,5
8119,5
8200,5
8200,5
8154,5
8276,5
8105,5
8294,5
8069,5
8267,5
8087,5
8220,5
8158,5
8138,5
8221,5
8066,5
8292,5
8022,5
8310,5
8007,5
8280,5
8035,5
8185,5
8074,5
8113,5
8140,5
8096,5
8180,5
8085,5
8151,5
8135,5
8124,5
8198,5
8043,5
8268,5
8039,5
8344,5
8033,5
8311,5
8018,5
8207,5
8089,5
8156,5
8185,5
8110,5
8243,5
8059,5
8276,5
8074,5
8257,5
8135,5
8224,5
8248,5
8199,5
8302,5
8158,5
8296,5
8158,5
8244,5
8201,5
8161,5
8233,5
8059,5
8311,5
8023,5
8331,5
7990,5
8299,5
8012,5
8234,5
8070,5
8165,5
8145,5
8105,5
8196,5
8074,5
8183,5
8108,5
8167,5
8153,5
8104,5
8217,5
8043,5
8263,5
8044,5
8313,5
8117,5
8254,5
8146,5
8163,5
8205,5
8071,5
8266,5
8028,5
8300,5
8019,5
8284,5
8055,5
8228,5
8117,5
8169,5
8174,5
8110,5
8194,5
8101,5
8191,5
8157,5
8155,5
8218,5
8071,5
8284,5
8013,5
8307,5
7984,5
8299,5
8014,5
8235,5
8081,5
8164,5
8154,5
8083,5
8213,5
8078,5
8264,5
8071,5
8234,5
8115,5
8182,5
8161,5
8097,5
8189,5
8048,5
8210,5
8074,5
8201,5
8146,5
8159,5
8242,5
8103,5
8314,5
8040,5
8341,5
8011,5
8338,5
8055,5
8293,5
8111,5
8220,5
8181,5
8151,5
8217,5
8117,5
8229,5
8142,5
8216,5
8224,5
8135,5
8234,5
8037,5
8262,5
8007,5
8254,5
8030,5
8227,5
8105,5
8162,5
8177,5
8093,5
8246,5
8052,5
8315,5
8049,5
8282,5
8060,5
8222,5
8111,5
8151,5
8154,5
8094,5
8199,5
8119,5
8218,5
8160,5
8141,5
8195,5
8048,5
8213,5
7935,5
8217,5
7916,5
8273,5
8017,5
8285,5
8110,5
8219,5
8172,5
8145,5
8220,5
8083,5
8240,5
8085,5
8238,5
8135,5
8192,5
8214,5
8152,5
8304,5
8125,5
8290,5
8093,5
8222,5
8122,5
8147,5
8185,5
8070,5
8262,5
8018,5
8313,5
8000,5
8310,5
8020,5
8254,5
8070,5
8192,5
8149,5
8132,5
8205,5
8120,5
8235,5
8149,5
8206,5
8217,5
8155,5
8286,5
8085,5
8318,5
8042,5
8321,5
8063,5
8295,5
8132,5
8217,5
8165,5
8088,5
8200,5
8012,5
8245,5
8039,5
8280,5
8065,5
8209,5
8085,5
8118,5
8145,5
8082,5
8194,5
8085,5
8200,5
8147,5
8177,5
8226,5
8128,5
8315,5
8071,5
8366,5
8038,5
8356,5
8051,5
8326,5
8085,5
8216,5
8140,5
8140,5
8193,5
8068,5
8204,5
8059,5
8164,5
8091,5
8133,5
8176,5
8078,5
8199,5
8021,5
8246,5
8062,5
8242,5
8109,5
8155,5
8153,5
8054,5
8218,5
8010,5
8293,5
8012,5
8328,5
8057,5
8313,5
8124,5
8245,5
8173,5
8156,5
8198,5
8128,5
8259,5
8180,5
8208,5
8195,5
8111,5
8233,5
8030,5
8279,5
7999,5
8302,5
8027,5
8287,5
8102,5
8241,5
8207,5
8176,5
8246,5
8068,5
8235,5
8017,5
8232,5
8050,5
8202,5
8115,5
8134,5
8165,5
8090,5
8204,5
8078,5
8205,5
8113,5
8177,5
8196,5
8103,5
8269,5
8040,5
8324,5
7995,5
8312,5
7995,5
8290,5
8062,5
8233,5
8130,5
8151,5
8185,5
8091,5
8217,5
8098,5
8187,5
8119,5
8167,5
8206,5
8085,5
8236,5
8022,5
8233,5
8001,5
8192,5
8037,5
8161,5
8169,5
8135,5
8266,5
8101,5
8354,5
8080,5
8381,5
8115,5
8358,5
8163,5
8258,5
8178,5
8152,5
8202,5
8116,5
8207,5
8117,5
8167,5
8161,5
8089,5
8223,5
8035,5
8289,5
8005,5
8327,5
8031,5
8318,5
8081,5
8243,5
8146,5
8161,5
8206,5
8090,5
8247,5
8066,5
8264,5
8085,5
8216,5
8129,5
8150,5
8196,5
8089,5
8214,5
8060,5
8196,5
8076,5
8156,5
8167,5
8115,5
8261,5
8050,5
8319,5
7988,5
8287,5
7950,5
8237,5
8012,5
8201,5
8088,5
8152,5
8175,5
8092,5
8183,5
8065,5
8155,5
8110,5
8139,5
8204,5
8112,5
8300,5
8102,5
8347,5
8094,5
8326,5
8135,5
8255,5
8184,5
8173,5
8253,5
8105,5
8324,5
8078,5
8341,5
8055,5
8271,5
8075,5
8209,5
8136,5
8141,5
8194,5
8102,5
8178,5
8085,5
8177,5
8194,5
8145,5
8235,5
8035,5
8273,5
7974,5
8283,5
7956,5
8260,5
8006,5
8204,5
8081,5
8138,5
8165,5
8080,5
8224,5
8069,5
8237,5
8081,5
8203,5
8122,5
8125,5
8188,5
8090,5
8254,5
8086,5
8259,5
8137,5
8231,5
8196,5
8160,5
8258,5
8063,5
8320,5
8022,5
8343,5
8021,5
8321,5
8052,5
8252,5
8126,5
8189,5
8192,5
8135,5
8227,5
8132,5
8247,5
8192,5
8192,5
8223,5
8086,5
8246,5
8024,5
8295,5
8034,5
8287,5
8050,5
8205,5
8096,5
8116,5
8167,5
8050,5
8233,5
8005,5
8242,5
8003,5
8222,5
8063,5
8198,5
8172,5
8178,5
8218,5
8114,5
8225,5
8136,5
8213,5
8184,5
8150,5
8240,5
8065,5
8295,5
7999,5
8322,5
8004,5
8321,5
8036,5
8263,5
8111,5
8184,5
8179,5
8121,5
8230,5
8091,5
8220,5
8076,5
8171,5
8115,5
8115,5
8192,5
8087,5
8260,5
8066,5
8247,5
8067,5
8182,5
8114,5
8115,5
8207,5
8066,5
8290,5
8030,5
8326,5
8010,5
8293,5
8041,5
8249,5
8105,5
8188,5
8182,5
8135,5
8243,5
8133,5
8206,5
8144,5
8138,5
8198,5
8084,5
8264,5
8017,5
8278,5
7990,5
8268,5
8031,5
8244,5
8125,5
8188,5
8206,5
8123,5
8273,5
8086,5
8321,5
8092,5
8293,5
8107,5
8211,5
8148,5
8137,5
8211,5
8113,5
8234,5
8113,5
8202,5
8152,5
8146,5
8236,5
8088,5
8310,5
8022,5
8324,5
7983,5
8308,5
8021,5
8271,5
8108,5
8198,5
8151,5
8123,5
8202,5
8088,5
8243,5
8110,5
8192,5
8133,5
8103,5
8188,5
8056,5
8245,5
8032,5
8251,5
8052,5
8206,5
8112,5
8140,5
8177,5
8063,5
8274,5
8046,5
8345,5
8043,5
8313,5
8049,5
8254,5
8116,5
8193,5
8176,5
8144,5
8213,5
8113,5
8186,5
8128,5
8132,5
8185,5
8078,5
8255,5
8012,5
8305,5
7995,5
8295,5
8015,5
8247,5
8090,5
8187,5
8175,5
8115,5
8234,5
8069,5
8284,5
8086,5
8281,5
8125,5
8227,5
8186,5
8147,5
8206,5
8075,5
8205,5
8087,5
8230,5
8180,5
8180,5
8224,5
8069,5
8276,5
8019,5
8330,5
7995,5
8324,5
8018,5
8257,5
8063,5
8191,5
8154,5
8151,5
8229,5
8144,5
8291,5
8183,5
8248,5
8183,5
8127,5
8200,5
8047,5
8257,5
8034,5
8294,5
8066,5
8257,5
8120,5
8160,5
8162,5
8065,5
8234,5
8036,5
8311,5
8012,5
8268,5
8005,5
8197,5
8057,5
8137,5
8119,5
8094,5
8168,5
8089,5
8193,5
8141,5
8187,5
8223,5
8098,5
8242,5
7976,5
8248,5
7937,5
8234,5
7938,5
8218,5
8028,5
8166,5
8111,5
8086,5
8183,5
8053,5
8245,5
8082,5
8271,5
8129,5
8235,5
8249,5
8233,5
8348,5
8218,5
8365,5
8207,5
8344,5
8246,5
8261,5
8272,5
8153,5
8330,5
8073,5
8351,5
8013,5
8325,5
8016,5
8292,5
8076,5
8215,5
8136,5
8134,5
8175,5
8077,5
8162,5
8075,5
8141,5
8133,5
8108,5
8201,5
8050,5
8263,5
8009,5
8281,5
8023,5
8247,5
8086,5
8185,5
8154,5
8090,5
8209,5
8023,5
8246,5
8000,5
8252,5
8015,5
8216,5
8093,5
8182,5
8174,5
8122,5
8219,5
8105,5
8197,5
8112,5
8152,5
8182,5
8091,5
8262,5
8035,5
8305,5
7989,5
8315,5
8003,5
8282,5
8059,5
8219,5
8138,5
8155,5
8199,5
8083,5
8218,5
8057,5
8208,5
8099,5
8191,5
8185,5
8126,5
8221,5
8051,5
8219,5
8049,5
8217,5
8089,5
8177,5
8197,5
8122,5
8252,5
8027,5
8312,5
8001,5
8304,5
7992,5
8259,5
8052,5
8210,5
8137,5
8167,5
8200,5
8128,5
8241,5
8148,5
8213,5
8189,5
8142,5
8240,5
8083,5
8300,5
8047,5
8338,5
8070,5
8318,5
8103,5
8237,5
8164,5
8152,5
8227,5
8075,5
8267,5
8043,5
8281,5
8056,5
8252,5
8109,5
8180,5
8178,5
8129,5
8238,5
8116,5
8219,5
8121,5
8175,5
8182,5
8121,5
8258,5
8044,5
8312,5
8007,5
8334,5
7988,5
8271,5
8027,5
8219,5
8122,5
8170,5
8189,5
8109,5
8221,5
8082,5
8230,5
8125,5
8191,5
8182,5
8127,5
8256,5
8084,5
8273,5
8052,5
8240,5
8082,5
8202,5
8158,5
8118,5
8221,5
8041,5
8264,5
7987,5
8300,5
8004,5
8266,5
8038,5
8209,5
8100,5
8133,5
8154,5
8094,5
8183,5
8103,5
8197,5
8179,5
8150,5
8236,5
8075,5
8300,5
8036,5
8329,5
8039,5
8334,5
8076,5
8261,5
8150,5
8185,5
8222,5
8108,5
8255,5
8056,5
8280,5
8070,5
8244,5
8108,5
8177,5
8155,5
8100,5
8208,5
8071,5
8209,5
8088,5
8174,5
8153,5
8111,5
8217,5
8031,5
8290,5
7996,5
8325,5
7990,5
8310,5
8044,5
8267,5
8144,5
8224,5
8225,5
8180,5
8251,5
8121,5
8231,5
8123,5
8180,5
8179,5
8109,5
8245,5
8064,5
8281,5
8050,5
8270,5
8065,5
8199,5
8118,5
8126,5
8198,5
8085,5
8299,5
8053,5
8340,5
8047,5
8288,5
8050,5
8207,5
8093,5
8121,5
8151,5
8098,5
8182,5
8108,5
8181,5
8122,5
8098,5
8188,5
8058,5
8312,5
8049,5
8338,5
8005,5
8298,5
8030,5
8254,5
8121,5
8203,5
8197,5
8118,5
8229,5
8077,5
8274,5
8099,5
8265,5
8145,5
8189,5
8191,5
8126,5
8255,5
8103,5
8249,5
8107,5
8214,5
8149,5
8130,5
8209,5
8050,5
8271,5
7996,5
8312,5
7990,5
8300,5
8014,5
8245,5
8078,5
8169,5
8137,5
8104,5
8181,5
8084,5
8182,5
8108,5
8148,5
8178,5
8103,5
8249,5
8058,5
8294,5
8040,5
8302,5
8067,5
8264,5
8158,5
8211,5
8229,5
8098,5
8242,5
8026,5
8293,5
8034,5
8294,5
8076,5
8234,5
8123,5
8177,5
8191,5
8115,5
8221,5
8124,5
8204,5
8145,5
8131,5
8187,5
8046,5
8252,5
7991,5
8297,5
7983,5
8294,5
8003,5
8235,5
8066,5
8185,5
8163,5
8131,5
8217,5
8070,5
8227,5
8082,5
8237,5
8145,5
8200,5
8221,5
8129,5
8248,5
8080,5
8269,5
8101,5
8248,5
8170,5
8176,5
8201,5
8060,5
8258,5
7998,5
8292,5
7977,5
8301,5
8028,5
8282,5
8100,5
8218,5
8182,5
8171,5
8237,5
8150,5
8246,5
8148,5
8187,5
8198,5
8130,5
8266,5
8060,5
8304,5
8043,5
8314,5
8047,5
8268,5
8114,5
8196,5
8182,5
8113,5
8236,5
8051,5
8262,5
8022,5
8256,5
8054,5
8209,5
8109,5
8142,5
8162,5
8087,5
8175,5
8070,5
8175,5
8108,5
8131,5
8178,5
8049,5
8244,5
8000,5
8309,5
7988,5
8320,5
8024,5
8313,5
8106,5
8232,5
8171,5
8176,5
8231,5
8098,5
8221,5
8079,5
8185,5
8113,5
8184,5
8229,5
8117,5
8262,5
8063,5
8243,5
8051,5
8215,5
8091,5
8147,5
8153,5
8087,5
8260,5
8028,5
8294,5
7995,5
8295,5
8019,5
8254,5
8072,5
8190,5
8154,5
8174,5
8236,5
8131,5
8226,5
8138,5
8198,5
8204,5
8129,5
8277,5
8078,5
8329,5
8029,5
8308,5
8020,5
8265,5
8069,5
8207,5
8162,5
8138,5
8219,5
8074,5
8273,5
8049,5
8247,5
8050,5
8191,5
8103,5
8144,5
8201,5
8126,5
8252,5
8112,5
8225,5
8123,5
8147,5
8176,5
8078,5
8251,5
8012,5
8310,5
7998,5
8337,5
8026,5
8312,5
8069,5
8229,5
8142,5
8171,5
8216,5
8128,5
8263,5
8145,5
8256,5
8170,5
8182,5
8202,5
8097,5
8254,5
8054,5
8276,5
8053,5
8245,5
8106,5
8207,5
8182,5
8120,5
8230,5
8024,5
8259,5
7984,5
8272,5
8001,5
8232,5
8054,5
8189,5
8125,5
8117,5
8166,5
8091,5
8197,5
8110,5
8171,5
8168,5
8082,5
8221,5
8034,5
8304,5
8029,5
8350,5
8071,5
8359,5
8133,5
8265,5
8157,5
8151,5
8204,5
8081,5
8245,5
8055,5
8253,5
8085,5
8205,5
8116,5
8132,5
8162,5
8072,5
8215,5
8069,5
8211,5
8098,5
8181,5
8197,5
8152,5
8306,5
8103,5
8359,5
8024,5
8324,5
7980,5
8283,5
8060,5
8247,5
8148,5
8185,5
8180,5
8098,5
8192,5
8084,5
8183,5
8123,5
8148,5
8203,5
8099,5
8266,5
8057,5
8294,5
8039,5
8255,5
8062,5
8209,5
8150,5
8142,5
8217,5
8054,5
8268,5
8017,5
8287,5
8031,5
8266,5
8075,5
8208,5
8168,5
8171,5
8213,5
8110,5
8195,5
8098,5
8188,5
8202,5
8154,5
8245,5
8044,5
8281,5
7981,5
8300,5
7989,5
8291,5
8033,5
8241,5
8118,5
8166,5
8189,5
8095,5
8231,5
8064,5
8244,5
8082,5
8209,5
8148,5
8157,5
8219,5
8117,5
8269,5
8096,5
8263,5
8132,5
8232,5
8195,5
8143,5
8238,5
8038,5
8252,5
7951,5
8270,5
7962,5
8269,5
8025,5
8236,5
8103,5
8163,5
8159,5
8114,5
8203,5
8106,5
8191,5
8121,5
8118,5
8179,5
8080,5
8292,5
8098,5
8369,5
8093,5
8341,5
8099,5
8256,5
8160,5
8174,5
8224,5
8114,5
8292,5
8059,5
8299,5
8050,5
8274,5
8073,5
8171,5
8097,5
8093,5
8152,5
8091,5
8220,5
8124,5
8206,5
8192,5
8152,5
8248,5
8079,5
8323,5
8042,5
8364,5
8028,5
8330,5
8033,5
8244,5
8091,5
8168,5
8167,5
8098,5
8217,5
8084,5
8240,5
8093,5
8202,5
8160,5
8155,5
8214,5
8084,5
8255,5
8063,5
8253,5
8082,5
8212,5
8141,5
8138,5
8206,5
8052,5
8272,5
8002,5
8308,5
7995,5
8295,5
8038,5
8249,5
8107,5
8176,5
8152,5
8105,5
8176,5
8109,5
8203,5
8140,5
8153,5
8186,5
8067,5
8260,5
8024,5
8294,5
8015,5
8301,5
8040,5
8249,5
8109,5
8173,5
8177,5
8097,5
8235,5
8046,5
8274,5
8058,5
8281,5
8104,5
8188,5
8105,5
8093,5
8152,5
8063,5
8179,5
8081,5
8181,5
8143,5
8139,5
8216,5
8073,5
8312,5
8030,5
8346,5
8011,5
8329,5
8030,5
8282,5
8121,5
8224,5
8191,5
8167,5
8252,5
8141,5
8282,5
8142,5
8243,5
8182,5
8149,5
8223,5
8084,5
8273,5
8053,5
8252,5
8048,5
8223,5
8119,5
8155,5
8215,5
8119,5
8272,5
8009,5
8278,5
7993,5
8287,5
8030,5
8224,5
8066,5
8151,5
8132,5
8101,5
8183,5
8108,5
8189,5
8104,5
8127,5
8186,5
8068,5
8233,5
8004,5
8309,5
8008,5
8303,5
8011,5
8261,5
8101,5
8219,5
8204,5
8155,5
8241,5
8077,5
8273,5
8079,5
8263,5
8103,5
8206,5
8165,5
8158,5
8258,5
8129,5
8270,5
8120,5
8236,5
8160,5
8171,5
8219,5
8114,5
8320,5
8045,5
8331,5
7994,5
8316,5
8014,5
8276,5
8078,5
8215,5
8150,5
8158,5
8236,5
8165,5
8252,5
8089,5
8154,5
8127,5
8113,5
8215,5
8064,5
8261,5
8042,5
8281,5
8040,5
8237,5
8091,5
8170,5
8166,5
8091,5
8225,5
8012,5
8253,5
7987,5
8259,5
8015,5
8222,5
8073,5
8167,5
8150,5
8139,5
8231,5
8126,5
8200,5
8117,5
8151,5
8178,5
8090,5
8258,5
8037,5
8338,5
8042,5
8354,5
8045,5
8304,5
8062,5
8193,5
8108,5
8109,5
8187,5
8063,5
8241,5
8080,5
8254,5
8094,5
8185,5
8144,5
8128,5
8236,5
8099,5
8260,5
8093,5
8237,5
8129,5
8178,5
8175,5
8070,5
8228,5
8015,5
8315,5
8015,5
8357,5
8040,5
8312,5
8081,5
8248,5
8175,5
8195,5
8207,5
8106,5
8197,5
8087,5
8156,5
8127,5
8109,5
8207,5
8072,5
8289,5
8043,5
8320,5
8059,5
8296,5
8116,5
8235,5
8190,5
8169,5
8273,5
8120,5
8335,5
8077,5
8318,5
8076,5
8266,5
8117,5
8203,5
8182,5
8143,5
8228,5
8100,5
8199,5
8108,5
8154,5
8163,5
8097,5
8262,5
8058,5
8315,5
7994,5
8300,5
7974,5
8269,5
8034,5
8211,5
8107,5
8138,5
8178,5
8083,5
8212,5
8062,5
8220,5
8101,5
8193,5
8157,5
8114,5
8199,5
8052,5
8224,5
8055,5
8226,5
8085,5
8170,5
8150,5
8103,5
8236,5
8036,5
8281,5
7998,5
8326,5
8015,5
8289,5
8049,5
8210,5
8103,5
8149,5
8190,5
8123,5
8203,5
8103,5
8173,5
8148,5
8145,5
8240,5
8089,5
8303,5
8038,5
8309,5
8015,5
8277,5
8056,5
8221,5
8143,5
8147,5
8201,5
8079,5
8279,5
8062,5
8279,5
8036,5
8218,5
8090,5
8159,5
8146,5
8113,5
8223,5
8111,5
8241,5
8144,5
8201,5
8181,5
8121,5
8246,5
8064,5
8330,5
8026,5
8352,5
8021,5
8323,5
8056,5
8257,5
8116,5
8156,5
8166,5
8097,5
8204,5
8077,5
8223,5
8112,5
8180,5
8163,5
8116,5
8243,5
8083,5
8305,5
8121,5
8325,5
8124,5
8219,5
8167,5
8155,5
8243,5
8066,5
8282,5
8010,5
8302,5
8011,5
8282,5
8045,5
8217,5
8104,5
8155,5
8176,5
8131,5
8234,5
8131,5
8199,5
8151,5
8105,5
8189,5
8046,5
8271,5
8018,5
8312,5
8013,5
8305,5
8053,5
8253,5
8129,5
8163,5
8186,5
8095,5
8246,5
8071,5
8283,5
8080,5
8256,5
8127,5
8197,5
8190,5
8132,5
8234,5
8097,5
8229,5
8100,5
8194,5
8159,5
8137,5
8222,5
8035,5
8257,5
7969,5
8287,5
7953,5
8265,5
8000,5
8220,5
8074,5
8158,5
8145,5
8088,5
8186,5
8083,5
8206,5
8123,5
8188,5
8196,5
8123,5
8252,5
8076,5
8290,5
8063,5
8309,5
8092,5
8254,5
8154,5
8150,5
8209,5
8071,5
8276,5
8052,5
8337,5
8046,5
8301,5
8057,5
8223,5
8119,5
8170,5
8188,5
8146,5
8256,5
8143,5
8220,5
8186,5
8162,5
8232,5
8077,5
8287,5
8019,5
8321,5
8010,5
8319,5
8047,5
8261,5
8103,5
8174,5
8170,5
8113,5
8239,5
8066,5
8225,5
8032,5
8171,5
8068,5
8126,5
8135,5
8071,5
8178,5
8043,5
8200,5
8062,5
8199,5
8171,5
8195,5
8284,5
8119,5
8286,5
7990,5
8295,5
7962,5
8287,5
8016,5
8262,5
8087,5
8171,5
8130,5
8090,5
8167,5
8093,5
8193,5
8089,5
8129,5
8138,5
8092,5
8262,5
8100,5
8336,5
8068,5
8315,5
8082,5
8269,5
8157,5
8237,5
8271,5
8184,5
8349,5
8108,5
